id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage,elementtype
34,35K,35 KOhm,,35000.0,100,0.063,-,,Ω,-,resistor
35,10KW01,10 KOhm,,10000.0,500,0.1,-,,Ω,-,resistor
36,R33,33 Ohm,,33.0,10100,0.063,-,,Ω,-,resistor
37,1K2W063,"1,2 KOhm",,1200.0,1000,0.063,-,,Ω,-,resistor
38,4K7W063,"4,7 KOhm",,4700.0,10700,0.063,-,,Ω,-,resistor
39,750K,750 KOhm,,750000.0,500,0.063,-,,Ω,-,resistor
40,11K,11 KOhm,,11000.0,100,0.0625,-,,Ω,-,resistor
41,R220,220 Ohm,,220.0,509,0.0625,-,,Ω,-,resistor
42,R180,180 Ohm,,180.0,5,15.0,-,,Ω,-,resistor
43,154K,154 KOhm,,154000.0,3,0.25,-,,Ω,-,resistor
44,160K,160 KOhm,,160000.0,17,0.063,-,,Ω,-,resistor
45,71K5,"71,5 KOhm",,71500.0,16,0.063,-,,Ω,-,resistor
46,115K,115 KOhm,,115000.0,2,0.25,-,,Ω,-,resistor
48,R115,115 Ohm,,115.0,100,0.1,-,,Ω,-,resistor
50,806K,806 KOhm,,860000.0,4,0.25,-,,Ω,-,resistor
51,R68,68 Ohm,,68.0,10,0.063,-,,Ω,-,resistor
52,R39,39 Ohm,,39.0,4,1.0,-,,Ω,-,resistor
53,8K25,"8,25 KOhm",,8250.0,75,0.1,-,,Ω,-,resistor
54,1K5W01,"1,5 KOhm",,1500.0,100,0.1,-,,Ω,-,resistor
55,R150,150 Ohm,,150.0,200,0.063,-,,Ω,-,resistor
56,8K87,"8,87 KOhm",,8870.0,44,0.063,-,,Ω,-,resistor
57,R250,250 Ohm,,250.0,3,0.063,-,,Ω,-,resistor
58,R51,51 Ohm,,51.0,9,0.063,-,,Ω,-,resistor
59,6K04,"6,04 KOhm",,6040.0,80,0.1,-,,Ω,-,resistor
60,R71,71 Ohm,,71.0,93,0.063,-,,Ω,-,resistor
61,53K6,"53,6 KOhm",,53600.0,100,100.0,-,,Ω,-,resistor
63,232K,232 KOhm,,232000.0,4,0.25,-,,Ω,-,resistor
64,10K7,"10,7 KOhm",,10700.0,80,0.0625,-,,Ω,-,resistor
65,49K9,"49,9 KOhm",,49900.0,70,0.0625,-,,Ω,-,resistor
66,R10015W,100 Ohm,,100.0,1,15.0,-,,Ω,-,resistor
67,99K9,"99,9 KOhm",,99900.0,70,0.0625,-,,Ω,-,resistor
68,49K90W1,"49,9 KOhm",,49900.0,12,0.1,-,,Ω,-,resistor
69,P2K,2K POT,Potencjometr,2000.0,24,,-,,Ω,-,resistor
70,P10K,10K POT,Potencjometr,10000.0,84,,-,,Ω,-,resistor
71,P100K,100K POT,Potencjometr,100000.0,9,,-,,Ω,-,resistor
72,smd15pf,15 pF,smd,1.5e-11,4,,-,,F,-,capacitor
73,smd001uf,10 nF,smd,1.0e-08,30,,-,,F,-,capacitor
74,smd4u7f,"4,7 uF",smd,4.7e-06,2,,-,,F,-,capacitor
75,smd10uf,10 uF,smd,1.0e-05,253,,-,,F,-,capacitor
76,smd01uf,100 nF,smd,1.0e-07,16596,,-,,F,-,capacitor
77,smd470pf,470 pF,smd,4.7e-10,600,,-,,F,-,capacitor
78,smd1nf,1 nF,smd,1.0e-09,100,,-,,F,-,capacitor
79,smd3n3f,"3,3 nF",smd,3.3e-09,100,,-,,F,-,capacitor
80,smd22uf,22 uF,smd,2.2e-05,100,,-,,F,-,capacitor
81,smd33uf,33 uF,smd,3.3e-05,11,,-,,F,-,capacitor
82,smd10nf,10nF,smd,1.0e-08,100,,-,,F,-,capacitor
83,smd47pf,47 pF,smd,4.7e-11,200,,-,,F,-,capacitor
84,smd1uf,1 uF,smd,1.0e-06,23,,-,,F,-,capacitor
85,smd10pf,10 pF,smd,1.0e-11,553,,-,,F,-,capacitor
86,smd1n5f,"1,5 nF",smd,1.5e-09,100,,-,,F,-,capacitor
87,smd4p7f,"4,7 pF",smd,4.7e-12,100,,-,,F,-,capacitor
88,smd100uf,100 uF,smd,0.0001,10,,-,,F,-,capacitor
89,smd30pf,30 pF,smd,3.0e-11,50,,-,,F,-,capacitor
90,smd2u2f,"2,2 uF",smd,2.2e-06,580,,-,,F,-,capacitor
91,smd200pf,220 pF,smd,2.2e-10,150,,-,,F,-,capacitor
92,smd100nf,10 nF,smd,1.0e-08,100,,-,,F,-,capacitor
93,smd15nf,15 nF,smd,1.5e-08,600,,-,,F,-,capacitor
94,smd56pf,56 pF,smd,5.6e-11,500,,-,,F,-,capacitor
95,smd100pf,100 pF,smd,1.0e-10,500,,-,,F,-,capacitor
96,smd7pf,7 pF,smd,7.0e-12,100,,-,,F,-,capacitor
97,smd18pf,18 pF,smd,1.8e-11,300,,-,,F,-,capacitor
98,smd4n7f,"4,7 nF",smd,4.7e-09,200,,-,,F,-,capacitor
99,smd22nf,22 nF,smd,2.2e-08,200,,-,,F,-,capacitor
100,smd220nf,220 nF,smd,2.2e-07,100,,-,,F,-,capacitor
101,smd8n2f,"8,2 nF",smd,8.2e-09,100,,-,,F,-,capacitor
102,smd6n8f,"6,8 nF",smd,6.8e-09,100,,-,,F,-,capacitor
103,smd39nf,39 nF,smd,3.9e-08,100,,-,,F,-,capacitor
104,smd2n2f,"2,2 nF",smd,2.2e-09,100,,-,,F,-,capacitor
105,smd47nf,47 nF,smd,4.7e-08,100,,-,,F,-,capacitor
106,el470uf,470 uF,tht,0.00047,2,,-,,F,16,capacitor
107,el1000uf,1000 uF,tht,0.001,2,,-,,F,16,capacitor
108,el820uf,820 uF,tht,0.00082,4,,-,,F,25,capacitor
109,el330uf,3300 uF,tht,0.0033,5,,-,,F,16,capacitor
110,el22uf50v,22 uF,tht,2.2e-05,11,,-,,F,50,capacitor
111,el10uf63v,10 uF,tht,1.0e-05,3,,-,,F,63,capacitor
112,el1uf,1 uF,tht,1.0e-06,4,,-,,F,50,capacitor
113,el22uf35v,22 uF,tht,2.2e-05,10,,-,,F,35,capacitor
114,el10uf16v,10 uF,tht,1.0e-05,100,,-,,F,16,capacitor
115,tht1uf,1 uF,tht,1.0e-06,32,,-,,F,-,capacitor
116,tht47nf,47 nF,tht,4.7e-08,49,,-,,F,-,capacitor
117,tht33nf,33 nF,tht,3.3e-08,50,,-,,F,-,capacitor
118,tht470nf,470 nF,tht,4.7e-07,49,,-,,F,-,capacitor
119,tht22nf,22 nF,tht,2.2e-08,50,,-,,F,-,capacitor
120,tht330nf,330 nF,tht,3.3e-07,49,,-,,F,-,capacitor
121,tht220nf,220 nF,tht,2.2e-07,47,,-,,F,-,capacitor
122,tht10nf,10 nF,tht,1.0e-08,52,,-,,F,-,capacitor
123,tht2n2f,"2,2 nF",tht,2.0e-09,51,,-,,F,-,capacitor
124,tht100nf,100 nF,tht,1.0e-07,41,,-,,F,-,capacitor
125,tft150pf,150 pF,tht,1.5e-10,49,,-,,F,-,capacitor
126,tht1nf,1 nF,tht,1.0e-09,51,,-,,F,-,capacitor
127,tht100pf,100 pF,tht,1.0e-10,47,,-,,F,-,capacitor
128,tht680pf,680 pF,tht,6.8e-10,50,,-,,F,-,capacitor
129,tht30pf,30 pF,tht,3.0e-11,49,,-,,F,-,capacitor
130,tht470pf,470 pF,tht,4.7e-10,53,,-,,F,-,capacitor
131,tht22pf,22 pF,tht,2.2e-11,49,,-,,F,-,capacitor
132,tht330pf,330 pF,tht,3.3e-10,51,,-,,F,-,capacitor
133,tht20pf,20 pF,tht,2.0e-11,48,,-,,F,-,capacitor
134,tht220pf,220 pF,tht,2.2e-10,50,,-,,F,-,capacitor
135,tht400pf,400 pf,tht,4.0e-10,4,,-,,F,-,capacitor
136,tht4u7f,"4,7 uF",tht,4.7e-06,2,,-,,F,-,capacitor
137,1a6250v,"1,6A/250V","Bezpiecznik 1,6A",1.60,5,,-,,A,-,fuse
138,6a3250v,"6,3A/250V","Bezpiecznik 6,3A",6.30,15,,-,,A,-,fuse
139,1a25250v,"1,25/250V","Bezpiecznik 1,15A",1.25,10,,-,,A,-,fuse
140,14D511R,14D511R,Warystor,320.0,1,,-,,V,-,varistor
141,S14K250,S14K250,Warystor,230.0,1,,-,,V,-,varistor
142,HO02S,HO02S,czujnik cisnienia,0.0,1,,-,,,-,sensor
143,TH02,TH02,czujnik wilgotnosci,0.0,3,,-,,,-,sensor
144,MAX3095,MAX3095,Uklad scalony,0.0,65,,-,,,-,microcontroler
145,A6300,A6300,Uklad scalony,0.0,13,,-,,,-,microcontroler
